Phase,Block,Floor,FloorLevel,Room,Size,Size_Category,Price,AvgPrice,Date,Direction,View,Distance,View_Score
 6 Maywood ,5,15,Mid, C,544,Middle_Unit,5150000,9467,28/9/2023,South East,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,13,22,Mid, A,635,Large_Unit,4980000,7843,28/9/2023,South East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,9,14,Mid, C,551,Middle_Unit,5070000,9201,28/9/2023,South West,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,8,13,Mid, H,550,Middle_Unit,5000000,9091,26/9/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 1 Locwood ,5,21,Mid, H,549,Middle_Unit,5080000,9253,26/9/2023,South East,2. Premium (Open Channel/Greenery),450,8.5
 1 Locwood ,5,6,Low, E,448,Small_Unit,3980000,8884,25/9/2023,North East,10. Poor Street (Light Rail Track / Road),450,2
 2 Sherwood ,1,13,Mid, E,448,Small_Unit,3800000,8482,22/9/2023,East,6. Normal (Good Direction - S/E),500,6
 1 Locwood ,13,3,Low, F,449,Small_Unit,3980000,8864,22/9/2023,South West,2. Premium (Open Channel/Greenery),500,8.5
 5 Lynwood ,6,14,Mid, E,446,,4200000,9417,21/9/2023,North West,10. Poor Street (Busy Road),1500,2
 3 Chestwood ,5,9,Low, C,551,Middle_Unit,4500000,8167,19/9/2023,South East,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,9,34,High, G,547,Middle_Unit,5080000,9287,18/9/2023,East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,2,30,High, H,549,Middle_Unit,5380000,9800,18/9/2023,North,10. Poor Street (Light Rail Track / Road),450,2
 1 Locwood ,4,16,Mid, E,448,Small_Unit,4800000,10714,15/9/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,13,24,Mid, H,547,Middle_Unit,3370000,6161,15/9/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 6 Maywood ,2,2,Low, A,629,Large_Unit,5100000,8108,15/9/2023,South,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,2,32,High, E,441,Small_Unit,4100000,9297,15/9/2023,North,4. Good Open (Distant Greenery),1500,7
 6 Maywood ,5,20,Mid, F,441,Small_Unit,5000000,11338,15/9/2023,South West,6. Normal (Good Direction - S/E),1500,6
 5 Lynwood ,9,18,Mid, D,544,Middle_Unit,5700000,10478,14/9/2023,North,8. Normal (Poor Direction - N/W),1500,4.5
 3 Chestwood ,2,6,Low, A,639,Large_Unit,5580000,8732,14/9/2023,South,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,1,6,Low, A,638,Large_Unit,4500000,7053,14/9/2023,South,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,4,17,Mid, A,635,Large_Unit,5100000,8031,12/9/2023,South East,4. Good Open (Distant Greenery),1400,7
 7 Kenswood ,1,8,Low, D,547,Middle_Unit,4880000,8921,7/9/2023,North East,4. Good Open (Distant Greenery),1400,7
 6 Maywood ,8,14,Mid, E,441,Small_Unit,4150000,9410,7/9/2023,North West,4. Good Open (Distant Greenery),1500,7
 2 Sherwood ,6,38,High, B,633,Large_Unit,6450000,10190,5/9/2023,South East,1. Premium Plus (Full Park),500,9
 1 Locwood ,2,5,Low, D,551,Middle_Unit,4830000,8766,4/9/2023,South,2. Premium (Open Channel/Greenery),450,8.5
 5 Lynwood ,10,31,High, G,547,Middle_Unit,5200000,9506,4/9/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 6 Maywood ,5,8,Low, B,623,Large_Unit,4500000,7223,31/8/2023,South,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,8,13,Mid, F,446,,4050000,9081,31/8/2023,North West,10. Poor Street (Light Rail Track / Road),500,2
 7 Kenswood ,8,4,Low, H,550,Middle_Unit,4500000,8182,30/8/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,7,14,Mid, H,550,Middle_Unit,2600000,4727,28/8/2023,East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,1,14,Mid, E,448,Small_Unit,4680000,10446,24/8/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,14,30,High, A,635,Large_Unit,5900000,9291,24/8/2023,East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,6,26,High, D,551,Middle_Unit,5380000,9764,22/8/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 1 Locwood ,12,17,Mid, B,633,Large_Unit,6300000,9953,18/8/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,1,23,Mid, C,546,Middle_Unit,5430000,9945,18/8/2023,North East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,3,3,Low, E,448,Small_Unit,4256000,9500,17/8/2023,North,8. Normal (Poor Direction - N/W),500,4.5
 1 Locwood ,13,27,High, D,551,Middle_Unit,4500000,8167,16/8/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,9,34,High, B,630,Large_Unit,5960000,9460,15/8/2023,North West,10. Poor Street (Busy Road),1400,2
 1 Locwood ,6,12,Mid, F,449,Small_Unit,4368000,9728,15/8/2023,North,10. Poor Street (Light Rail Track / Road),450,2
 1 Locwood ,7,12,Mid, B,633,Large_Unit,5500000,8689,14/8/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 1 Locwood ,4,29,High, H,549,Middle_Unit,2650000,4827,11/8/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 6 Maywood ,6,22,Mid, A,629,Large_Unit,5380000,8553,11/8/2023,North East,4. Good Open (Distant Greenery),1500,7
 2 Sherwood ,4,14,Mid, B,633,Large_Unit,6000000,9479,10/8/2023,South East,1. Premium Plus (Full Park),500,9
 7 Kenswood ,12,26,High, F,442,Small_Unit,4680000,10588,9/8/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 1 Locwood ,9,14,Mid, H,549,Middle_Unit,5650000,10291,8/8/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,3,17,Mid, E,446,Small_Unit,5000000,11211,4/8/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 7 Kenswood ,11,4,Low, A,638,Large_Unit,5900000,9248,3/8/2023,South East,4. Good Open (Distant Greenery),1400,7
 7 Kenswood ,7,4,Low, A,638,Large_Unit,5800000,9091,2/8/2023,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,10,18,Mid, E,446,Small_Unit,4650000,10426,2/8/2023,North West,10. Poor Street (Busy Road),1500,2
 1 Locwood ,13,30,High, F,449,Small_Unit,4350000,9688,2/8/2023,South West,2. Premium (Open Channel/Greenery),500,8.5
 1 Locwood ,8,4,Low, F,449,Small_Unit,2300000,5122,31/7/2023,North West,10. Poor Street (Light Rail Track / Road),500,2
 3 Chestwood ,3,23,Mid, B,633,Large_Unit,6800000,10742,28/7/2023,South,1. Premium Plus (Full Park),1300,9
 7 Kenswood ,7,13,Mid, A,638,Large_Unit,6000000,9404,28/7/2023,South East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,2,4,Low, H,540,,5350000,9907,27/7/2023,North,8. Normal (Poor Direction - N/W),500,4.5
 3 Chestwood ,4,8,Low, F,449,Small_Unit,4500000,10022,27/7/2023,West,1. Premium Plus (Full Park),1300,9
 2 Sherwood ,3,10,Low, E,448,Small_Unit,4460000,9955,27/7/2023,North,8. Normal (Poor Direction - N/W),500,4.5
 7 Kenswood ,2,18,Mid, A,635,Large_Unit,6000000,9449,27/7/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,10,19,Mid, A,635,Large_Unit,5750000,9055,24/7/2023,North East,4. Good Open (Distant Greenery),1400,7
 7 Kenswood ,8,20,Mid, C,546,Middle_Unit,5680000,10403,21/7/2023,South East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,2,7,Low, D,551,Middle_Unit,5600000,10163,14/7/2023,South,1. Premium Plus (Full Park),500,9
 1 Locwood ,12,13,Mid, D,551,Middle_Unit,5150000,9347,14/7/2023,North West,10. Poor Street (Light Rail Track / Road),500,2
 5 Lynwood ,2,17,Mid, B,630,Large_Unit,5810000,9222,11/7/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,13,10,Low, E,448,Small_Unit,4760000,10625,11/7/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,3,5,Low, D,547,Middle_Unit,5450000,9963,11/7/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 7 Kenswood ,9,25,Mid, D,544,Middle_Unit,6000000,11029,10/7/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 5 Lynwood ,7,25,Mid, F,442,Small_Unit,5000000,11312,6/7/2023,North East,5. Good Internal (Pool/Piazza),1500,6.5
 5 Lynwood ,1,23,Mid, A,635,Large_Unit,5880000,9260,6/7/2023,South,5. Good Internal (Pool/Piazza),1500,6.5
 2 Sherwood ,1,17,Mid, D,551,Middle_Unit,5000000,9074,5/7/2023,North East,6. Normal (Good Direction - S/E),500,6
 7 Kenswood ,9,10,Low, F,442,Small_Unit,4300000,9729,5/7/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,10,13,Mid, H,550,Middle_Unit,5500000,10000,5/7/2023,South East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,2,30,High, A,636,Large_Unit,6000000,9434,4/7/2023,South,2. Premium (Open Channel/Greenery),450,8.5
 1 Locwood ,14,24,Mid, B,633,Large_Unit,2900000,4581,4/7/2023,North East,10. Poor Street (Light Rail Track / Road),500,2
 3 Chestwood ,3,30,High, D,543,Middle_Unit,4560000,8398,3/7/2023,North,8. Normal (Poor Direction - N/W),1300,4.5
 1 Locwood ,6,17,Mid, A,636,Large_Unit,3000000,4717,3/7/2023,North East,10. Poor Street (Light Rail Track / Road),450,2
 1 Locwood ,10,17,Mid, H,540,,5000000,9259,30/6/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,1,10,Low, G,547,Middle_Unit,5100000,9324,29/6/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 6 Maywood ,1,15,Mid, E,441,Small_Unit,4660000,10567,29/6/2023,East,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,2,27,High, H,549,Middle_Unit,5600000,10200,23/6/2023,North,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,10,11,Mid, H,550,Middle_Unit,5350000,9727,23/6/2023,South East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,2,14,Mid, A,636,Large_Unit,6080000,9560,21/6/2023,South,1. Premium Plus (Full Park),500,9
 7 Kenswood ,10,10,Low, C,546,Middle_Unit,2600000,4762,21/6/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,12,31,High, B,630,Large_Unit,6000000,9524,20/6/2023,East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,2,9,Low, C,551,Middle_Unit,5490000,9964,16/6/2023,North East,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,1,25,Mid, B,630,Large_Unit,6000000,9524,16/6/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,7,18,Mid, E,446,Small_Unit,5100000,11435,14/6/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,6,20,Mid, A,636,Large_Unit,5930000,9324,13/6/2023,North East,6. Normal (Good Direction - S/E),1300,6
 5 Lynwood ,8,21,Mid, E,446,Small_Unit,4775000,10706,13/6/2023,North West,10. Poor Street (Busy Road),1500,2
 7 Kenswood ,6,5,Low, F,442,Small_Unit,4780000,10814,9/6/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 1 Locwood ,12,3,Low, B,633,Large_Unit,5620000,8878,8/6/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,4,24,Mid, F,442,Small_Unit,4330000,9796,2/6/2023,West,10. Poor Street (Busy Road),1400,2
 6 Maywood ,1,18,Mid, E,441,Small_Unit,4700000,10658,2/6/2023,East,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,2,6,Low, G,544,Middle_Unit,5450000,10018,1/6/2023,South West,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,4,6,Low, A,639,Large_Unit,5400000,8451,31/5/2023,South East,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,7,18,Mid, F,442,Small_Unit,2300000,5204,30/5/2023,North East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,8,22,Mid, F,449,Small_Unit,4800000,10690,30/5/2023,North West,10. Poor Street (Light Rail Track / Road),500,2
 5 Lynwood ,3,13,Mid, D,547,Middle_Unit,5388000,9850,29/5/2023,North,8. Normal (Poor Direction - N/W),1500,4.5
 1 Locwood ,13,3,Low, D,551,Middle_Unit,5280000,9583,29/5/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 5 Lynwood ,8,8,Low, A,638,Large_Unit,5860000,9185,25/5/2023,South East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,13,4,Low, F,449,Small_Unit,4480000,9978,25/5/2023,South West,2. Premium (Open Channel/Greenery),500,8.5
 2 Sherwood ,3,22,Mid, F,449,Small_Unit,5200000,11581,25/5/2023,East,6. Normal (Good Direction - S/E),500,6
 7 Kenswood ,2,18,Mid, H,547,Middle_Unit,5500000,10055,24/5/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 6 Maywood ,2,31,High, H,540,Middle_Unit,5280000,9778,24/5/2023,West,8. Normal (Poor Direction - N/W),1500,4.5
 6 Maywood ,6,20,Mid, E,441,Small_Unit,4970000,11270,23/5/2023,North West,4. Good Open (Distant Greenery),1500,7
 6 Maywood ,1,29,High, G,544,Middle_Unit,5600000,10294,22/5/2023,South West,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,3,18,Mid, A,635,Large_Unit,6200000,9764,18/5/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 1 Locwood ,2,7,Low, G,548,Middle_Unit,5580000,10182,18/5/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 6 Maywood ,5,25,Mid, E,441,Small_Unit,4990000,11315,18/5/2023,North East,4. Good Open (Distant Greenery),1500,7
 3 Chestwood ,5,22,Mid, D,543,Middle_Unit,5450000,10037,18/5/2023,North West,1. Premium Plus (Full Park),1300,9
 1 Locwood ,12,7,Low, G,548,Middle_Unit,5536000,10102,17/5/2023,North,10. Poor Street (Light Rail Track / Road),500,2
 1 Locwood ,7,14,Mid, D,551,Middle_Unit,4900000,8893,17/5/2023,South East,2. Premium (Open Channel/Greenery),450,8.5
 3 Chestwood ,5,22,Mid, C,551,Middle_Unit,5500000,9982,16/5/2023,South East,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,10,12,Mid, E,446,Small_Unit,4680000,10493,16/5/2023,North West,10. Poor Street (Busy Road),1500,2
 3 Chestwood ,1,7,Low, E,448,Small_Unit,4530000,10112,16/5/2023,South West,1. Premium Plus (Full Park),1300,9
 3 Chestwood ,6,27,High, G,548,Middle_Unit,5850000,10675,15/5/2023,South,1. Premium Plus (Full Park),1300,9
 1 Locwood ,6,4,Low, G,548,Middle_Unit,5180000,9453,15/5/2023,South,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,4,32,High, F,442,Small_Unit,5000000,11312,12/5/2023,West,10. Poor Street (Busy Road),1400,2
 2 Sherwood ,2,27,High, A,636,Large_Unit,6360000,10000,11/5/2023,South,1. Premium Plus (Full Park),500,9
 7 Kenswood ,6,21,Mid, C,546,Middle_Unit,5800000,10623,11/5/2023,South East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,2,6,Low, B,633,Large_Unit,6100000,9637,11/5/2023,South West,1. Premium Plus (Full Park),500,9
 1 Locwood ,9,25,Mid, F,449,Small_Unit,5100000,11359,10/5/2023,South,2. Premium (Open Channel/Greenery),500,8.5
 1 Locwood ,2,10,Low, A,639,Large_Unit,6160000,9640,10/5/2023,South,2. Premium (Open Channel/Greenery),450,8.5
 2 Sherwood ,6,11,Mid, F,449,Small_Unit,4680000,10423,9/5/2023,North,8. Normal (Poor Direction - N/W),500,4.5
 5 Lynwood ,7,12,Mid, D,547,Middle_Unit,5300000,9689,8/5/2023,North West,10. Poor Street (Busy Road),1500,2
 6 Maywood ,3,4,Low, F,441,Small_Unit,4620000,10476,8/5/2023,East,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,4,15,Mid, H,549,Middle_Unit,5000000,9107,5/5/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,10,20,Mid, D,544,Middle_Unit,5520000,10147,5/5/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 5 Lynwood ,1,1,Low, H,550,Middle_Unit,5500000,10000,4/5/2023,East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,2,12,Mid, F,449,Small_Unit,4580000,10200,4/5/2023,North,8. Normal (Poor Direction - N/W),1300,4.5
 1 Locwood ,14,8,Low, H,552,Middle_Unit,5400000,9783,2/5/2023,West,8. Normal (Poor Direction - N/W),500,4.5
 3 Chestwood ,3,11,Mid, H,552,Middle_Unit,5750000,10417,28/4/2023,South East,1. Premium Plus (Full Park),1300,9
 2 Sherwood ,6,25,Mid, F,449,Small_Unit,5100000,11359,27/4/2023,North,8. Normal (Poor Direction - N/W),500,4.5
 1 Locwood ,11,31,High, F,449,Small_Unit,5050000,11247,26/4/2023,West,8. Normal (Poor Direction - N/W),500,4.5
 5 Lynwood ,7,10,Low, B,630,Large_Unit,5850000,9286,26/4/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 6 Maywood ,1,7,Low, E,441,Small_Unit,4750000,10771,25/4/2023,East,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,1,17,Mid, A,629,Large_Unit,5850000,9300,25/4/2023,South West,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,2,31,High, D,551,Middle_Unit,5680000,10309,25/4/2023,South,2. Premium (Open Channel/Greenery),450,8.5
 5 Lynwood ,7,32,High, E,446,Small_Unit,2470000,5538,24/4/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,9,19,Mid, D,544,Middle_Unit,5670000,10423,21/4/2023,North,8. Normal (Poor Direction - N/W),1400,4.5
 5 Lynwood ,6,1,Low, C,546,Middle_Unit,5020000,9194,21/4/2023,South East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,2,28,High, A,636,Large_Unit,7200000,11321,21/4/2023,South,1. Premium Plus (Full Park),1300,9
 5 Lynwood ,8,12,Mid, C,546,Middle_Unit,5550000,10165,20/4/2023,South East,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,2,22,Mid, C,551,Middle_Unit,5750000,10436,20/4/2023,North East,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,12,33,High, B,630,Large_Unit,6400000,10159,18/4/2023,East,4. Good Open (Distant Greenery),1400,7
 6 Maywood ,2,1,Low, A,631,Large_Unit,5568000,8824,18/4/2023,South,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,11,9,Low, A,638,Large_Unit,5868000,9197,18/4/2023,South East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,3,19,Mid, E,448,Small_Unit,5280000,11786,18/4/2023,North,10. Poor Street (Light Rail Track / Road),450,2
 6 Maywood ,7,19,Mid, F,441,Small_Unit,4950000,11224,18/4/2023,North East,4. Good Open (Distant Greenery),1500,7
 1 Locwood ,14,13,Mid, H,549,Middle_Unit,5560000,10128,18/4/2023,West,8. Normal (Poor Direction - N/W),500,4.5
 3 Chestwood ,1,17,Mid, D,543,Middle_Unit,5302000,9764,18/4/2023,North East,6. Normal (Good Direction - S/E),1300,6
 7 Kenswood ,6,15,Mid, A,635,Large_Unit,2900000,4567,18/4/2023,North East,4. Good Open (Distant Greenery),1400,7
 6 Maywood ,4,8,Low, H,544,Middle_Unit,2630000,4835,14/4/2023,South West,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,8,17,Mid, E,441,Small_Unit,4938000,11197,13/4/2023,North West,4. Good Open (Distant Greenery),1500,7
 1 Locwood ,11,2,Low, H,549,Middle_Unit,4000000,7286,13/4/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,5,32,High, A,635,Large_Unit,6400000,10079,11/4/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,5,24,Mid, G,547,Middle_Unit,5750000,10512,4/4/2023,South East,5. Good Internal (Pool/Piazza),1500,6.5
 3 Chestwood ,2,9,Low, F,449,Small_Unit,4000000,8909,4/4/2023,North,8. Normal (Poor Direction - N/W),1300,4.5
 7 Kenswood ,13,18,Mid, G,547,Middle_Unit,5600000,10238,3/4/2023,East,4. Good Open (Distant Greenery),1400,7
 6 Maywood ,3,20,Mid, G,544,Middle_Unit,5650000,10386,3/4/2023,South East,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,2,38,High, C,544,Middle_Unit,5800000,10662,3/4/2023,North East,4. Good Open (Distant Greenery),1500,7
 6 Maywood ,7,5,Low, A,629,Large_Unit,1550000,2464,3/4/2023,South East,6. Normal (Good Direction - S/E),1500,6
 1 Locwood ,11,10,Low, C,551,Middle_Unit,5200000,9437,31/3/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 6 Maywood ,2,33,High, H,540,Middle_Unit,5300000,9815,31/3/2023,West,8. Normal (Poor Direction - N/W),1500,4.5
 1 Locwood ,4,6,Low, B,633,Large_Unit,5780000,9131,30/3/2023,South East,2. Premium (Open Channel/Greenery),450,8.5
 6 Maywood ,7,1,Low, A,631,Large_Unit,5800000,9192,30/3/2023,South East,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,8,21,Mid, A,635,Large_Unit,6250000,9843,30/3/2023,South East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,4,9,Low, F,449,Small_Unit,4700000,10468,28/3/2023,West,8. Normal (Poor Direction - N/W),450,4.5
 3 Chestwood ,6,3,Low, G,548,Middle_Unit,5400000,9854,28/3/2023,South,1. Premium Plus (Full Park),1300,9
 3 Chestwood ,6,1,Low, A,639,Large_Unit,5800000,9077,28/3/2023,North East,6. Normal (Good Direction - S/E),1300,6
 1 Locwood ,1,18,Mid, G,548,Middle_Unit,5250000,9580,28/3/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,3,9,Low, G,547,Middle_Unit,5080000,9287,24/3/2023,South East,4. Good Open (Distant Greenery),1400,7
 1 Locwood ,7,3,Low, E,448,Small_Unit,4650000,10379,24/3/2023,South West,2. Premium (Open Channel/Greenery),450,8.5
 7 Kenswood ,11,12,Mid, C,546,Middle_Unit,5000000,9158,24/3/2023,South East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,4,13,Mid, C,551,Middle_Unit,5650000,10254,24/3/2023,South West,1. Premium Plus (Full Park),500,9
 7 Kenswood ,12,32,High, F,442,Small_Unit,5100000,11538,24/3/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 7 Kenswood ,12,32,High, E,446,Small_Unit,5100000,11435,24/3/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 2 Sherwood ,5,27,High, G,548,Middle_Unit,5920000,10803,23/3/2023,South East,1. Premium Plus (Full Park),500,9
 3 Chestwood ,4,11,Mid, F,449,Small_Unit,4350000,9688,22/3/2023,West,1. Premium Plus (Full Park),1300,9
 6 Maywood ,3,14,Mid, H,544,Middle_Unit,5580000,10257,22/3/2023,South East,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,11,29,High, E,446,Small_Unit,5180000,11614,22/3/2023,West,10. Poor Street (Busy Road),1400,2
 1 Locwood ,7,9,Low, G,548,Middle_Unit,5200000,9489,22/3/2023,South East,2. Premium (Open Channel/Greenery),450,8.5
 1 Locwood ,12,17,Mid, F,449,Small_Unit,4820000,10735,21/3/2023,South West,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,11,13,Mid, H,550,Middle_Unit,5300000,9636,21/3/2023,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,10,19,Mid, C,546,Middle_Unit,5578000,10216,21/3/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,7,29,High, B,630,Large_Unit,6500000,10317,21/3/2023,South East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,5,20,Mid, B,630,Large_Unit,6350000,10079,20/3/2023,South,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,4,10,Low, C,551,Middle_Unit,4900000,8893,20/3/2023,North,10. Poor Street (Light Rail Track / Road),450,2
 7 Kenswood ,10,2,Low, C,546,Middle_Unit,2500000,4579,17/3/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 1 Locwood ,10,6,Low, B,633,Large_Unit,5500000,8689,17/3/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
 7 Kenswood ,1,26,High, C,546,Middle_Unit,5680000,10403,16/3/2023,North East,4. Good Open (Distant Greenery),1400,7
 5 Lynwood ,4,29,High, E,446,Small_Unit,4930000,11054,16/3/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 7 Kenswood ,1,21,Mid, D,544,Middle_Unit,5600000,10294,14/3/2023,North East,4. Good Open (Distant Greenery),1400,7
 2 Sherwood ,2,2,Low, F,449,Small_Unit,4450000,9911,14/3/2023,North,8. Normal (Poor Direction - N/W),500,4.5
 6 Maywood ,2,7,Low, H,544,Middle_Unit,4600000,8456,14/3/2023,West,8. Normal (Poor Direction - N/W),1500,4.5
 5 Lynwood ,3,20,Mid, D,544,Middle_Unit,5500000,10110,14/3/2023,North,8. Normal (Poor Direction - N/W),1500,4.5
 7 Kenswood ,9,30,High, F,442,Small_Unit,4600000,10407,14/3/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 3 Chestwood ,6,19,Mid, B,633,Large_Unit,5950000,9400,13/3/2023,South East,1. Premium Plus (Full Park),1300,9
 1 Locwood ,9,19,Mid, D,551,Middle_Unit,5780000,10490,13/3/2023,North,10. Poor Street (Light Rail Track / Road),500,2
 6 Maywood ,3,7,Low, A,629,Large_Unit,5680000,9030,13/3/2023,South West,6. Normal (Good Direction - S/E),1500,6
 7 Kenswood ,14,3,Low, G,547,Middle_Unit,5190000,9488,9/3/2023,North East,4. Good Open (Distant Greenery),1400,7
 7 Kenswood ,10,30,High, H,547,Middle_Unit,5440000,9945,8/3/2023,South East,4. Good Open (Distant Greenery),1400,7
 7 Kenswood ,1,17,Mid, A,635,Large_Unit,5800000,9134,8/3/2023,South West,5. Good Internal (Pool/Piazza),1400,6.5
 5 Lynwood ,10,33,High, F,442,Small_Unit,4980000,11267,8/3/2023,South West,5. Good Internal (Pool/Piazza),1500,6.5
 1 Locwood ,9,8,Low, B,633,Large_Unit,5500000,8689,7/3/2023,North West,10. Poor Street (Light Rail Track / Road),500,2
 7 Kenswood ,6,25,Mid, H,547,Middle_Unit,5560000,10165,7/3/2023,North West,10. Poor Street (Busy Road),1400,2
 7 Kenswood ,5,15,Mid, B,636,,5800000,9119,7/3/2023,South,5. Good Internal (Pool/Piazza),1400,6.5
 6 Maywood ,4,9,Low, E,441,Small_Unit,4900000,11111,6/3/2023,South West,6. Normal (Good Direction - S/E),1500,6
 6 Maywood ,4,22,Mid, G,544,Middle_Unit,3876000,7125,6/3/2023,North East,4. Good Open (Distant Greenery),1500,7
 6 Maywood ,8,17,Mid, F,441,Small_Unit,4880000,11066,6/3/2023,North West,4. Good Open (Distant Greenery),1500,7
 1 Locwood ,13,26,High, E,448,Small_Unit,4850000,10826,6/3/2023,South East,2. Premium (Open Channel/Greenery),500,8.5
